,1. open,2. high,3. low,4. close,5. volume
2025-03-13,726.9000,731.4500,724.3500,727.7500,229142
2025-03-12,729.9500,736.5000,719.2000,722.9000,198814
2025-03-11,724.9000,733.9000,722.5000,729.9500,285624
2025-03-10,732.9500,738.4500,727.0500,728.3500,339175
2025-03-07,732.9500,734.9000,727.9500,732.7500,288192
2025-03-06,737.9500,737.9500,727.1000,731.9500,321519
2025-03-05,718.8500,731.0000,717.8000,730.2500,628448
2025-03-04,693.4000,718.1500,692.1500,716.1500,587355
2025-03-03,692.2500,696.8500,679.6500,695.1500,398676
2025-02-28,701.8000,701.8000,682.8500,688.2500,953162
2025-02-27,716.9000,716.9000,701.0000,703.9500,624622
2025-02-25,719.0000,719.0000,709.9500,711.0000,875612
2025-02-24,712.6500,719.8000,710.9000,716.4000,525944
2025-02-21,729.2000,732.0000,720.0000,721.5500,460425
2025-02-20,727.8000,731.8000,723.0500,729.6500,279931
2025-02-19,722.8000,734.7500,722.1000,726.8000,174597
2025-02-18,727.9500,727.9500,717.4500,725.7500,396321
2025-02-17,721.8500,728.9500,711.4000,728.0500,751026
2025-02-14,729.4500,732.7000,716.1500,722.0000,895669
2025-02-13,735.0000,737.3000,726.0500,727.3000,605466
2025-02-12,732.9500,738.3000,717.2500,733.2500,550605
2025-02-11,738.1500,740.0000,726.9000,731.0000,826170
2025-02-10,740.5500,744.0500,733.6000,736.8500,788061
2025-02-07,761.8000,761.8000,732.0500,737.0500,1805880
2025-02-06,769.6500,770.9500,750.0000,752.3500,1384322
2025-02-05,780.8000,781.6000,764.6500,766.1000,654303
2025-02-04,766.3000,780.8500,766.0000,779.2000,749753
2025-02-03,763.6500,763.6500,753.4500,761.0000,427934
2025-01-31,765.0000,777.7500,759.3500,773.1000,241965
2025-01-30,759.4000,764.8500,754.7000,762.2000,618809
2025-01-29,752.5000,760.2500,749.8000,758.7000,379821
2025-01-28,756.2000,759.6000,745.6500,751.6500,794022
2025-01-27,740.0000,755.3000,736.0000,749.2000,775011
2025-01-24,747.2000,753.7500,738.8500,744.3500,458033
2025-01-23,751.9500,755.8000,743.3000,745.9500,235130
2025-01-22,762.8500,762.8500,738.3000,753.2500,237866
2025-01-21,784.9500,785.3000,756.2500,759.0000,953600
2025-01-20,765.0500,784.9500,765.0500,779.0500,559123
2025-01-17,766.9000,767.8500,759.4500,764.1000,497950
2025-01-16,761.6500,776.5500,760.0500,766.4000,511761
2025-01-15,753.7000,758.8500,750.3500,754.0000,171791
2025-01-14,730.6000,756.9000,730.6000,748.1000,687121
2025-01-13,742.9500,743.8500,722.5000,729.6000,300275
2025-01-10,760.3500,760.8000,742.0000,743.1500,454472
2025-01-09,771.9500,771.9500,726.9000,760.3500,803943
2025-01-08,781.0000,782.5000,760.1000,771.2000,1224097
2025-01-07,778.0500,783.7500,775.1000,779.0000,563547
2025-01-06,798.0000,798.0000,773.3000,776.7500,624836
2025-01-03,801.9000,809.7000,792.2500,793.5000,387698
2025-01-02,795.0000,802.4000,786.3000,801.0500,711599
2025-01-01,796.8500,798.5000,789.6000,793.3500,356031
2024-12-31,788.7500,798.9500,787.0000,795.0500,283620
2024-12-30,802.7000,808.0000,785.2000,788.3000,686161
2024-12-27,817.2500,818.7500,797.2500,799.5500,1061163
2024-12-26,813.0000,822.9500,808.0000,811.6500,194920
2024-12-24,825.0000,825.5500,809.2000,811.8500,431577
2024-12-23,818.3500,823.9000,812.4000,820.9500,281649
2024-12-20,833.8000,836.4000,810.0000,812.5000,467910
2024-12-19,822.0500,837.9000,820.1000,832.8000,309033
2024-12-18,850.2000,850.8000,836.7000,839.0500,172425
2024-12-17,859.7500,862.9500,847.1500,850.2000,143409
2024-12-16,859.0000,866.2000,857.8000,860.7000,252691
2024-12-13,853.7000,863.0000,835.0000,861.7000,455324
2024-12-12,862.5000,864.2000,851.2500,853.7500,179011
2024-12-11,865.7500,869.7500,860.8000,861.5500,342069
2024-12-10,862.0000,868.8500,858.5000,867.6000,197287
2024-12-09,862.9500,866.8000,856.7500,857.8500,646144
2024-12-06,866.9500,875.5000,856.8500,864.0000,431320
2024-12-05,861.6500,871.0000,855.6500,864.8500,379508
2024-12-04,854.4000,863.8000,850.2500,859.4500,679548
2024-12-03,836.4500,856.6000,836.4500,853.9500,370485
2024-12-02,836.2000,842.0000,832.8000,836.2000,526054
2024-11-29,842.0000,843.8500,831.5000,839.0000,757635
2024-11-28,834.9500,845.7000,830.3500,838.7500,811586
2024-11-27,839.3000,842.1500,832.0000,834.2000,502957
2024-11-26,844.7500,846.7000,835.2000,839.3500,448647
2024-11-25,826.2500,849.3000,825.9500,844.7500,1612713
2024-11-22,785.6500,819.7500,784.3000,816.0500,1534393
2024-11-21,800.0000,800.0000,761.6500,780.8500,804079
2024-11-19,817.5500,820.1000,800.1000,802.0000,467072
2024-11-18,810.0500,816.6500,799.2000,813.7000,378989
2024-11-14,809.9500,817.8500,801.1000,804.0500,720597
2024-11-13,822.5000,831.6500,804.4500,808.3500,454522
2024-11-12,851.0000,853.0000,824.1000,826.4000,467134
2024-11-11,847.0000,853.6500,841.4500,847.8000,1417460
2024-11-08,860.0000,863.6500,834.3000,843.2500,1106664
2024-11-07,860.0500,862.4500,846.7000,859.2500,494821
2024-11-06,850.0000,861.0000,846.2000,854.7500,896339
2024-11-05,829.0000,851.2000,826.1000,849.2000,1335383
2024-11-04,822.6500,837.5000,807.0500,829.8500,458939
2024-10-31,821.9500,828.0000,813.4500,820.5000,497763
2024-10-30,830.0000,832.9000,821.0500,822.4000,322347
2024-10-29,796.5000,834.5000,790.5000,832.6500,1593501
2024-10-28,783.2000,803.9500,783.2000,792.0500,675658
2024-10-25,798.4500,800.0000,772.0500,780.6000,650630
2024-10-24,786.0500,796.8000,784.5000,794.7000,183971
2024-10-23,790.0000,792.5000,779.6000,785.9500,467975
2024-10-22,814.1500,816.3500,787.6000,790.4500,604778
2024-10-21,822.0500,826.3500,809.1000,814.1500,584223
2024-10-18,811.0000,822.4000,803.1000,819.9500,429099
